Movie name,Movie rate,Description,Creators,Trailer link,More Info
A Pacemaker and a Sidecar,5.8,"In a poor neighborhood, teenagers plot an assassination while a party is being organized for the local usurer.",André Forcier,N/A,https://www.themoviedb.org/movie/328752
The Life of Chuck,7.4,"In this extraordinary story of an ordinary man, Charles 'Chuck' Krantz experiences the wonder of love, the heartbreak of loss, and the multitudes contained in all of us.",Mike Flanagan,https://www.youtube.com/watch?v=jlN1Mmj6YNo,https://www.themoviedb.org/movie/842924
Teenage Mutant Ninja Turtles,5.921,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",Jonathan Liebesman,https://www.youtube.com/watch?v=dwXFsrp6WBs,https://www.themoviedb.org/movie/98566
Smile 2,6.6,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",Parker Finn,https://www.youtube.com/watch?v=FU_bAopCcSE,https://www.themoviedb.org/movie/1100782
Walking and Talking,6.1,"Just as Amelia thinks she's over her anxiety and insecurity, her best friend announces her engagement, bringing her anxiety and insecurity right back.",Nicole Holofcener,https://www.youtube.com/watch?v=ohAd27SbH6E,https://www.themoviedb.org/movie/49963
731,3.25,"Based on true events set during WWII in Northeast China, an ordinary man is thrust into a turbulent fate against the backdrop of the inhumane bacterial experiments conducted by the Japanese Imperial Army's notorious Unit 731.",Zhao Linshan,https://www.youtube.com/watch?v=EmecKft35rM,https://www.themoviedb.org/movie/1321624
Babygirl,5.748,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,Halina Reijn,https://www.youtube.com/watch?v=9XXoNB0lVGo,https://www.themoviedb.org/movie/1097549
Yoon-Yool's Men Affairs,0.0,"Na-ri joined the company as a new employe, capturing the hearts of her colleagues with her outstanding skills and looks, but she had a plan! She pretends to be in love with the president's son, registered her marriage with him, and have other male motives who don't know about it pay for him recklessly. It's a love-war-like story where Hye-seon, who was in an internal relationship with the president, proceeds with the plan that Na-ri has made and eventually takes over the company.",Mr. Na,N/A,https://www.themoviedb.org/movie/938090
28 Weeks Later,6.609,"Twenty-eight weeks after the spread of a deadly rage virus, the inhabitants of the British Isles have lost their battle against the onslaught, as the virus has killed everyone there. Six months later, a group of Americans dare to set foot on the Isles, convinced the danger has passed. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",Juan Carlos Fresnadillo,https://www.youtube.com/watch?v=gPOt4mAEfBE,https://www.themoviedb.org/movie/1562
A Christmas to Savour,5.4,"Scarlett is a chef and co-owner of a restaurant. This year, her best friend buys her a ticket to a holiday cooking getaway, where Scarlett will relearn festive cooking, and maybe find love in a handsome rival chef from her past.",Jessica Harmon,https://www.youtube.com/watch?v=MeWwoBbs1sw,https://www.themoviedb.org/movie/844819
Aquaman and the Lost Kingdom,6.578,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Arthur (Aquaman) forges an alliance with his imprisoned brother. They must protect the kingdom.",James Wan,https://www.youtube.com/watch?v=4cSkHPW-MPE,https://www.themoviedb.org/movie/572802
Instintos,7.417,"Maggie is in her final days of pregnancy, when she and her husband Sean are attacked in their isolated home by two people who decide to wait with them until Monday to empty the family's bank accounts.",Sebastián Borensztein,N/A,https://www.themoviedb.org/movie/1537780
Good Will Hunting,8.157,"Headstrong yet aimless, Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he secretly solves highly difficult graduate-level math problems, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he gets court-ordered therapy. Eventually, therapist Dr. Sean Maguire helps Will confront the demons that are holding him back.",Gus Van Sant,https://www.youtube.com/watch?v=_X0XUBOcsxI,https://www.themoviedb.org/movie/489
Thor,6.769,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",Kenneth Branagh,https://www.youtube.com/watch?v=uHBnrJowBZE,https://www.themoviedb.org/movie/10195
Solo Leveling -ReAwakening-,7.0,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.",Shunsuke Nakashige,https://www.youtube.com/watch?v=UdIXUDpeTXU,https://www.themoviedb.org/movie/1357633
Site,6.583,"After a terrifying encounter at an abandoned government test site, a small town family man begins seeing haunting visions of a past that threatens to destroy his present.",Jason Eric Perlman,https://www.youtube.com/watch?v=gvtcNsE6oZk,https://www.themoviedb.org/movie/1188423
Snoopy Presents: A Summer Musical,7.5,"Music and glee fill the air as Charlie Brown and the gang head off to summer camp. First-timer Sally doesn't get what all the hype is about. But when the camp may be forced to close, they team up to save it so more kids can make their own special memories.",Erik Wiese,https://www.youtube.com/watch?v=Bnd8wceX9ok,https://www.themoviedb.org/movie/1484453
The Departed,8.159,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",Martin Scorsese,https://www.youtube.com/watch?v=r-MiSNsCdQ4,https://www.themoviedb.org/movie/1422
The Mandalorian and Grogu,0.0,"The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.",Jon Favreau,https://www.youtube.com/watch?v=_pa1KLXuW0Y,https://www.themoviedb.org/movie/1228710
Jaws,7.678,"When the seaside community of Amity finds itself under attack by a dangerous great white shark, the town's chief of police, a young marine biologist, and a grizzled hunter embark on a desperate quest to destroy the beast before it strikes again.",Steven Spielberg,https://www.youtube.com/watch?v=N9hzLQUGr34,https://www.themoviedb.org/movie/578
Hacksaw Ridge,8.192,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",Mel Gibson,https://www.youtube.com/watch?v=s2-1hz1juBI,https://www.themoviedb.org/movie/324786
The Life of Chuck,7.386,"In this extraordinary story of an ordinary man, Charles 'Chuck' Krantz experiences the wonder of love, the heartbreak of loss, and the multitudes contained in all of us.",Mike Flanagan,https://www.youtube.com/watch?v=jlN1Mmj6YNo,https://www.themoviedb.org/movie/842924
Thor: The Dark World,6.5,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.",Alan Taylor,https://www.youtube.com/watch?v=npvJ9FTgZbM,https://www.themoviedb.org/movie/76338
Kalakal,7.2,"A seductive female garbage collector who embraces the life of an escort lady. Desperate to live a comfortable life, she leaves the dumpsite and enters the club. But can she also dump both her brother and her lover who remind her of her past?",Roman Perez Jr.,N/A,https://www.themoviedb.org/movie/1476292
Madagascar,6.916,Four animal friends get a taste of the wild life when they break out of captivity at the Central Park Zoo and wash ashore on the island of Madagascar.,"Eric Darnell, Tom McGrath",https://www.youtube.com/watch?v=dm-eiFVtRws,https://www.themoviedb.org/movie/953
District 9,7.455,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.",Neill Blomkamp,https://www.youtube.com/watch?v=_BjWEn5yvmw,https://www.themoviedb.org/movie/17654
Deadpool,7.6,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",Tim Miller,https://www.youtube.com/watch?v=9vN6DHB6bJc,https://www.themoviedb.org/movie/293660
