Tên xe,Giá,Nam s?n xu?t,Ki?u dáng,Tình tr?ng,Xu?t x?,S? km dã di,T?nh thành,H?p s?,Nhiên li?u
Toyota Camry 2.0G 2021,835000000,Nam SX 2021,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 20.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Everest Titanium 2.0L AT 4WD 2022,1265000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 70.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Kia Cerato 1.6 AT Deluxe 2016,368000000,Nam SX 2016,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 130.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda 2 1.5AT 2015,295000000,Nam SX 2015,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 120.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia K5 2.0 Luxury 2022,645000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 58.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Camry 2.5Q 2022,1150000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 32.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz C200 2015,575000000,Nam SX 2015,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Fortuner 2.4 AT 4x2 Legender 2022,1035000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 20.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Toyota Fortuner 2.4 MT 4x2 2019,775000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 20.000 km,"T?nh thành
Tp.HCM",H?p s? S? sàn,Nhiên li?u Máy d?u
Ford Ranger XLS 2.2 4x2 AT 2022,545000000,Nam SX 2022,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 40.000 km,"T?nh thành
Hung Yên",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Grand i10 Hatchback 1.2 AT 2023,385000000,Nam SX 2023,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 20.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia K140 2016,245000000,Nam SX 2016,Ki?u dáng Xe t?i,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 80.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy d?u
Porsche Macan tiêu chu?n 2020,2299000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 56.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz S450L 2018,1999000000,Nam SX 2018,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 68.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Porsche Macan tiêu chu?n 2021,2999000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 55.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Honda City 1.5 TOP CVT 2019,395000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 59.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Carnival 2025,1800000000,Nam SX 2025,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 1.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Hybrid
Mercedes-Benz S400 3.0 V6 2014,1100000000,Nam SX 2014,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 109.134 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Ranger XLS 2.0L 4x2 AT 2023,630000000,Nam SX 2023,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 36.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia K3 2.0 Premium 2022,579000000,Nam SX 2022,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 37.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Elantra   2.0 AT 2021,518000000,Nam SX 2021,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 30.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
BMW 320i 2024,1598000000,Nam SX 2024,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 9.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Land Cruiser VX 4.6 V8 2019,3800000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 140.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Santa Fe 2.4L Xang Ð?c bi?t 2018,580000000,Nam SX 2018,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 122.000 km,"T?nh thành
Bình Ð?nh",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sonet 1.5 Premium 2022,518000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 67.000 km,"T?nh thành
Bình Ð?nh",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Corolla Altis 1.8 G 2009,280000000,Nam SX 2009,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 107.000 km,"T?nh thành
Bình Ð?nh",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Grand i10 Hatchback 1.2 AT 2010,185000000,Nam SX 2010,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 140 km,"T?nh thành
Bình Ð?nh",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Lexus RX 350 F-Sport 2009,719000000,Nam SX 2009,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 70.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Seltos 1.4 Premium 2022,628000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 40.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda CX-5 2.0 Premium 2020,669000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 70.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mazda 3 1.5L Sedan 2023,538000000,Nam SX 2023,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 30.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sonet 1.5 Premium 2023,568000000,Nam SX 2023,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 31.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Creta 1.5L Ð?c bi?t 2022,565000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 39.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Elantra   2.0 AT 2021,490000000,Nam SX 2021,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 40.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz E200 Exclusive V1 2022,1699000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 30.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz GLS 450 4Matic 2021,3850000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 53.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz GLC 300 4Matic 2017,899000000,Nam SX 2017,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 66.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Fortuner 2.7V 2015,419000000,Nam SX 2015,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 140.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Tourneo Titanium 2019,595000000,Nam SX 2019,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 90.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Corolla Cross 1.8 G 2022,645000000,Nam SX 2022,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford EcoSport Titanium 1.5L AT 2014,259000000,Nam SX 2014,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 100.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Lexus LX 570 Super Sport 2019,7449000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 41.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Lexus RX 350 Luxury 2023,4379000000,Nam SX 2023,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 10.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Alphard Executive Lounge 2019,2979000000,Nam SX 2019,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 62.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz S450L 4Matic 2019,2450000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 29.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Audi Q8 55 TFSI Quattro 2021,2980000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 23.999 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
BMW X5 xDrive 40i xLine Plus 2024,4099000000,Nam SX 2024,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 4.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz C200 2.0 AT 2019,885000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 9.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz Maybach S450 4Matic 2019,3879000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 38.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Lexus RX 350L 2023,4089000000,Nam SX 2023,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 5.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Cerato 2.0 AT Premium 2019,450000000,Nam SX 2019,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 76.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Cao c?p 2020,335000000,Nam SX 2020,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 25.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Grand i10 1.0 AT 2015,238000000,Nam SX 2015,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 120.840 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sportage 1.6 T Signature X-line AWD 2024,900000000,Nam SX 2024,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 6.666 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Suzuki XL7 1.5L 2022,460000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 95.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Vios 1.5E MT 2013,175000000,Nam SX 2013,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 150.000 km,"T?nh thành
H?i Phòng",H?p s? S? sàn,Nhiên li?u Máy xang
Mazda 3 1.5L Sedan 2018,428000000,Nam SX 2018,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 82.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Grand i10 Sedan 1.2 AT 2017,295000000,Nam SX 2017,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.243 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Vios 1.3J MT 2016,228000000,Nam SX 2016,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 120.000 km,"T?nh thành
H?i Phòng",H?p s? S? sàn,Nhiên li?u Máy xang
Hyundai Accent 1.4 AT 2018,379000000,Nam SX 2018,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 94.548 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia K3 1.6AT 2013,298000000,Nam SX 2013,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 110.275 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Corolla 1.6 XLi 2009,255000000,Nam SX 2009,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 120.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mitsubishi Pajero Sport D 4x2 AT 2019,715000000,Nam SX 2019,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 55.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Mercedes-Benz GLC 300 2019,1150000000,Nam SX 2019,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 50.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz GLC 200 4Matic 2021,1280000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 40.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz AMG G63 2021,8950000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 30.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast VF8 Eco 2023,770000000,Nam SX 2023,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 42.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Ði?n
VinFast VF8 Plus 2022,840000000,Nam SX 2022,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 50.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Ði?n
VinFast VF8 Eco 2023,800000000,Nam SX 2023,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 48.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Ði?n
Hyundai Accent 1.4 AT 2018,345000000,Nam SX 2018,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 80 km,"T?nh thành
Thanh Hóa",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Raize 2022,445000000,Nam SX 2022,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 40.000 km,"T?nh thành
Thanh Hóa",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Ranger XLS 2.2 4x2 AT 2020,529000000,Nam SX 2020,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 55.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Toyota Fortuner 2.7 V 4X2 AT 2015,450000000,Nam SX 2015,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 90.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Veloz Cross 1.5 CVT 2022,495000000,Nam SX 2022,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 50.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast LUX A2.0 Cao c?p 2020,508000000,Nam SX 2020,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 69.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Everest Titanium 2.0 AT 4x2 2023,1225000000,Nam SX 2023,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 22.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Toyota Fortuner 2.5G 4x2 MT 2013,455000000,Nam SX 2013,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 80.000 km,"T?nh thành
Hà N?i",H?p s? S? sàn,Nhiên li?u Máy xang
Honda City RS 2023,479000000,Nam SX 2023,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 1.200 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Sonata 2.0L-6AT 2009,199000000,Nam SX 2009,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 120.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Explorer Limited 2017,830000000,Nam SX 2017,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 80.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast LUX A2.0 Cao c?p 2020,545000000,Nam SX 2020,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mitsubishi Attrage CVT 2021,299000000,Nam SX 2021,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 80.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz AMG G63 4.0 v8 2022,10200000000,Nam SX 2022,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 17.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mitsubishi Xpander 1.5 AT  2023,499000000,Nam SX 2023,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 36.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Morning Luxury 2020,299000000,Nam SX 2020,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Soluto AT Deluxe 2020,319000000,Nam SX 2020,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 26.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Nâng Cao 2022,329000000,Nam SX 2022,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 30.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast LUX SA2.0 Cao c?p 2020,669000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 89.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Suzuki Ertiga Hybrid Ertiga AT 2022,429000000,Nam SX 2022,,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 58.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Toyota Camry 2.5Q 2020,865000000,Nam SX 2020,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 80.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Morning Si 1.25 AT 2016,245000000,Nam SX 2016,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 89.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Morning AT 2011,219000000,Nam SX 2011,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 133.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Subaru Tribeca 3.6R 2013,439000000,Nam SX 2013,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 130.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Chevrolet Cruze LTZ 2017,289000000,Nam SX 2017,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 58.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mitsubishi Attrage CVT 2021,329000000,Nam SX 2021,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 73.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mitsubishi Attrage CVT 2021,329000000,Nam SX 2021,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 73.000 km,"T?nh thành
Bình Duong",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast VF8 Eco 2023,738000000,Nam SX 2023,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 100 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Ði?n
VinFast VF8 Eco 2024,809000000,Nam SX 2024,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 30 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Ði?n
Hyundai Grand i10 2014,126000000,Nam SX 2014,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 78.000 km,"T?nh thành
Hà Tinh",H?p s? S? sàn,Nhiên li?u Máy xang
Mercedes-Benz C250 AMG 2010,220000000,Nam SX 2010,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 81.000 km,"T?nh thành
Ngh? An",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Grand i10 2014,118000000,Nam SX 2014,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 101.000 km,"T?nh thành
Hà Tinh",H?p s? S? sàn,Nhiên li?u Máy xang
VinFast VF8 S 2024,849000000,Nam SX 2024,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 40 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Ði?n
VinFast VF8 S 2024,855000000,Nam SX 2024,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 30 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Ði?n
Kia Seltos 1.6 Luxury 2024,635000000,Nam SX 2024,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 22.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast VF8 2023,760000000,Nam SX 2023,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 32.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Mercedes-Benz GLC 200 4Matic 2023,1920000000,Nam SX 2023,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 9.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Honda CR-V 2.4L TG 2012,335000000,Nam SX 2012,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 100.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
